'd	d
'em	em
'll	ll
'neath	'neath
're	re
's	s
'shun	'shun
'tis	t-is
'twas	t-was
'tween	'tween
'tween-decks	'tween-decks
'twere	t-were
'twill	t-will
'twixt	'twixt
'twould	t-would
'un	'un
've	ve
a	a
a-bomb	atom-bombbomb|atom-ic-bombbomb
a-bombs	atom-ic-bombbomb-s|atom-bombbomb-s
a-level	advanc-ed-levellevel
a-levels	advanc-ed-levellevel-s
a.w.o.l.	a.w.o.l.
a/c	a/c
aa	aa
aas	aa-s
abc	abc
abc's	abc-s
abcs	abc-s
ad	ad
adc	adc
am	am
aborigine	aborigine
aborigines	aborigine-s
achilles	achilles
acropolis	acropolis
acts	acts
adam	adam
addressograph	addressograph
addressographs	addressograph-s
advent	advent
adventist	advent-ist
adventists	advent-ist-s
afghan	afghan
afghani	afghanistan-i|afghan-i
afghanis	afghanistan-i-s
afghanistan	afghanistan
afghanistani	afghanistan-i
afghanistanis	afghanistan-i-s
afghans	afghan-s
africa	africa
african	afric-an
africans	afric-an-s
afrikaans	afrikaans
afrikaner	afrikaner
afrikaners	afrikaner-s
afro	afro
afro-american	afro-american
afro-americans	afro-american-s
afro-asian	afro-asi-an
afro-wig	afro-wig
afro-wigs	afro-wig-s
afros	afro-s
airedale	airedale
airedales	airedale-s
al	al
albania	albania
albanian	albani-an
albanians	albani-an-s
algeria	algeria
algerian	algeri-an
algerians	algeri-an-s
alice	alice
allah	allah
almighty	almighty
alsace	alsace
alsatian	alsat-ian
alsatians	alsat-ian-s
ame	ame
american	american
americanism	american-ism
americanisms	american-ism-s
americans	american-s
amerindian	amer-indi-an
amerindians	amer-indi-an-s
amhara	amhara
amharic	amhar-ic
andorra	andorra
andorran	andorr-an
andorrans	andorr-an-s
anglican	anglican
anglicanism	anglican-ism
anglicans	anglican-s
anglo-american	anglo-american
anglo-americans	anglo-american-s
anglo-catholic	anglo-catholic
anglo-catholicism	anglo-catholic-ism
anglo-catholics	anglo-catholic-s
anglo-indian	anglo-indi-an
anglo-indians	anglo-indi-an-s
anglo-saxon	anglo-saxon
anglo-saxons	anglo-saxon-s
anglomania	anglo-mania
anglophile	anglo-phile
anglophiles	anglo-phile-s
anglophilia	anglo-phil-ia
anglophobe	anglo-phobe
anglophobes	anglo-phobe-s
anglophobia	anglo-phobia
angola	angola
angolan	angol-an
angolans	angol-an-s
anguilla	anguilla
anguillan	anguill-an
anguillans	anguill-an-s
antarctic	antarctic
antigua	antigua
antiguan	antigu-an
antiguans	antigu-an-s
antipodes	antipodes
apocrypha	apocrypha
apr.	apr.
april	april
aprils	april-s
aquarius	aquarius
aquariuses	aquarius-es
arab	arab
arabia	arabia
arabian	arabi-an
arabians	arabi-an-s
arabic	arab-ic
arabist	arab-ist
arabists	arab-ist-s
arabs	arab-s
arcadia	arcadia
arcadian	arcadi-an
arcadians	arcadi-an-s
arctic	arctic
argentina	argentina
argentine	argentine
argentines	argentine-s
argentinian	argentin-ian
argentinians	argentin-ian-s
argonaut	argonaut
argus	argus
argus-eyed	argus-ey-ed
aries	aries
arthur	arthur
aryan	aryan
aryans	aryan-s
asia	asia
asian	asi-an
asians	asi-an-s
asiatic	asiat-ic
asiatics	asiat-ic-s
attic	attic
aubriet	aubriet
aug.	aug.
august	august
augustan	august-an
augusts	august-s
augustus	augustus
aussie	australi-ans-ie
aussies	australi-ans-ie-s
australasia	australasia
australasian	australasi-an
australasians	australasi-an-s
australia	australia
australian	australi-an
australians	australi-an-s
austria	austria
austrian	austri-an
austrians	austri-an-s
ave.	ave.
b	b
b.s.	b.s.
b.sc.	b.sc.
ba	ba
bbc	bbc
bc	bc
bo	bo
br	br
bactria	bactria
bactrian	bactri-an
bactrians	bactri-an-s
bahamas	bahamas
bahamian	baham-ian
bahamians	baham-ian-s
bahrain	bahrain
bahraini	bahrain-i
bahrainis	bahrain-i-s
bailey	bailey
band-aid	band-aid
band-aids	band-aid-s
bangladesh	bangladesh
bangladeshi	bangladesh-i
bangladeshis	bangladesh-i-s
bantu	bantu
bantus	bantu-s
baptist	bapt-ist
baptists	bapt-ist-s
bar	bar
barbadian	barbad-ian
barbadians	barbad-ian-s
barbados	barbados
bart.	bart.
bass	bass
bath	bath
bath-chair	bath-chair
bath-chairs	bath-chair-s
beaujolais	beaujolais
begon	begon
behemoth	behemoth
behemoths	behemoth-s
belgian	belgi-an
belgians	belgi-an-s
belgium	belgium
belisha	belisha
benedict	benedict
benedictine	benedict-ine
benedictines	benedict-ine-s
benedictus	benedictus
bengal	bengal
bengalese	bengal-ese
bengali	bengal-i
bengalis	bengal-i-s
benin	benin
beninese	benin-ese
benzedrine	benzedrine
bermuda	bermuda
bermudan	bermud-an
